측정소명,초미세먼지,오존
영등포구,33,0.017
동작구,42,0.02
강서구,37,0.016
양천구,37,0.02
관악구,34,0.019
금천구,31,0.022
구로구,36,0.026
서초구,49,0.017
송파구,41,0.02
강남구,38,0.011
강동구,34,0.02
용산구,31,0.012
중구,36,0.011
종로구,31,0.013
마포구,33,0.01
은평구,31,0.015
서대문구,41,0.018
노원구,26,0.011
동대문구,29,0.013
성북구,27,0.011
성동구,31,0.01
광진구,35,0.014
도봉구,32,0.011
강북구,32,0.017
중랑구,29,0.013
관악구,29,0.015
동작구,35,0.017
양천구,39,0.01
구로구,38,0.017
금천구,32,0.013
영등포구,29,0.009
강서구,37,0.009
강남구,34,0.009
강동구,27,0.012
송파구,34,0.01
서초구,46,0.014
종로구,26,0.008
용산구,24,0.008
중구,34,0.005
은평구,27,0.008
서대문구,29,0.01
마포구,24,0.005
광진구,31,0.006
동대문구,25,0.007
노원구,25,0.006
성북구,26,0.008
성동구,29,0.006
도봉구,32,0.011
강북구,26,0.012
중랑구,25,0.006
양천구,37,0.007
관악구,26,0.007
금천구,31,0.007
영등포구,29,0.005
강서구,31,0.007
동작구,28,0.01
구로구,38,0.013
송파구,28,0.006
강동구,24,0.007
강남구,30,0.006
서초구,39,0.011
중구,26,0.004
종로구,26,0.005
용산구,23,0.004
은평구,17,0.005
마포구,26,0.003
서대문구,26,0.006
도봉구,29,0.006
중랑구,24,0.004
강북구,21,0.009
노원구,23,0.005
광진구,27,0.003
성동구,25,0.004
동대문구,22,0.005
성북구,26,0.006
양천구,35,0.004
구로구,38,0.01
강서구,28,0.004
금천구,27,0.004
영등포구,30,0.004
관악구,21,0.005
동작구,29,0.007
강남구,26,0.004
송파구,25,0.004
강동구,26,0.003
서초구,30,0.009
용산구,22,0.002
종로구,25,0.003
중구,26,0.003
서대문구,23,0.004
은평구,18,0.004
마포구,29,0.002
노원구,26,0.003
강북구,22,0.013
성북구,25,0.003
동대문구,22,0.002
도봉구,24,0
중랑구,23,0.002
성동구,23,0.003
광진구,24,0.001
영등포구,33,0.003
양천구,36,0.002
동작구,33,0.004
금천구,28,0.002
관악구,19,0.003
구로구,32,0.009
강서구,30,0.005
송파구,20,0.002
강동구,27,0.002
강남구,26,0.002
서초구,30,0.007
종로구,22,0.007
용산구,17,0.003
중구,25,0.004
마포구,29,0.004
서대문구,21,0.006
은평구,20,0.013
성북구,22,0.003
중랑구,23,0.002
노원구,24,0.002
도봉구,25,0.01
강북구,23,0.015
성동구,22,0.002
광진구,20,0.001
동대문구,18,0.003
관악구,19,0.003
동작구,27,0.004
영등포구,32,0.003
강서구,25,0.004
금천구,26,0.002
구로구,32,0.01
양천구,34,0.004
서초구,29,0.006
송파구,20,0.002
강남구,24,0.002
강동구,25,0.002
중구,25,0.006
용산구,18,0.001
종로구,23,0.009
마포구,19,0.005
서대문구,25,0.013
은평구,19,0.019
성북구,20,0.005
동대문구,20,0.003
광진구,22,0.001
중랑구,23,0.003
성동구,23,0.002
도봉구,22,0.019
강북구,22,0.02
노원구,27,0.006
관악구,18,0.003
강서구,21,0.004
금천구,25,0.002
구로구,27,0.009
동작구,31,0.006
양천구,26,0.005
영등포구,27,0.005
강남구,25,0.002
송파구,20,0.002
강동구,27,0.002
서초구,27,0.008
종로구,22,0.006
용산구,20,0.002
중구,24,0.003
은평구,15,0.028
마포구,17,0.019
서대문구,20,0.021
강북구,21,0.023
성동구,19,0.002
노원구,25,0.011
광진구,21,0.001
동대문구,19,0.007
성북구,24,0.016
도봉구,24,0.023
중랑구,23,0.009
양천구,22,0.004
강서구,19,0.004
구로구,23,0.009
동작구,25,0.007
영등포구,16,0.025
금천구,22,0.002
관악구,16,0.003
송파구,21,0.002
강동구,28,0.002
서초구,26,0.01
강남구,22,0.002
용산구,19,0.002
중구,26,0.004
종로구,25,0.013
서대문구,18,0.019
마포구,18,0.022
은평구,21,0.025
동대문구,20,0.014
도봉구,21,0.024
광진구,24,0.002
성북구,23,0.016
강북구,26,0.024
노원구,29,0.012
중랑구,22,0.018
성동구,19,0.002
동작구,25,0.009
양천구,21,0.024
구로구,23,0.018
금천구,24,0.003
강서구,19,0.012
영등포구,19,0.037
관악구,18,0.003
서초구,24,0.015
송파구,23,0.002
강남구,24,0.007
강동구,29,0.002
종로구,25,0.011
용산구,19,0.003
중구,24,0.005
서대문구,23,0.011
마포구,20,0.013
은평구,22,0.019
성북구,23,0.027
광진구,15,0.002
동대문구,19,0.011
중랑구,22,0.022
도봉구,19,0.028
노원구,26,0.011
강북구,25,0.023
성동구,20,0.003
관악구,17,0.003
강서구,17,0.021
구로구,17,0.036
동작구,26,0.01
금천구,21,0.002
영등포구,17,0.024
양천구,19,0.023
서초구,23,0.009
강남구,23,0.012
강동구,26,0.003
송파구,23,0.002
용산구,19,0.005
종로구,24,0.006
중구,24,0.01
서대문구,24,0.016
마포구,21,0.008
은평구,24,0.015
중랑구,23,0.005
성북구,18,0.025
성동구,18,0.007
광진구,36,0.003
