측정일시,측정소명,초미세먼지(㎍/㎥),오존(ppm)
202003311600 ,성동구,37,0.04
202003311600 ,동대문구,32,0.038
202003311600 ,성북구,33,0.041
202003311600 ,도봉구,36,0.053
202003311600 ,강북구,38,0.05
202003311600 ,구로구,34,0.054
202003311600 ,영등포구,39,0.041
202003311600 ,금천구,24,0.039
202003311600 ,관악구,37,0.044
202003311600 ,동작구,45,0.04
202003311600 ,강서구,30,0.044
202003311600 ,양천구,38,0.038
202003311600 ,강동구,25,0.035
202003311600 ,강남구,41,0.043
202003311600 ,송파구,31,0.037
202003311600 ,서초구,50,0.049
202003311500 ,중구,39,0.035
202003311500 ,용산구,28,0.04
202003311500 ,종로구,31,0.034
202003311500 ,은평구,33,0.046
202003311500 ,서대문구,43,0.042
202003311500 ,마포구,40,0.036
202003311500 ,성북구,30,0.036
202003311500 ,노원구,0,0
202003311500 ,성동구,28,0.04
202003311500 ,도봉구,22,0.043
202003311500 ,강북구,31,0.041
202003311500 ,동대문구,24,0.037
202003311500 ,중랑구,27,0.036
202003311500 ,광진구,25,0.035
202003311500 ,관악구,34,0.044
202003311500 ,영등포구,41,0.04
202003311500 ,강서구,38,0.044
202003311500 ,금천구,30,0.042
202003311500 ,구로구,34,0.056
202003311500 ,양천구,43,0.04
202003311500 ,동작구,30,0.04
202003311500 ,강동구,26,0.036
202003311500 ,서초구,48,0.045
202003311500 ,송파구,35,0.033
202003311500 ,강남구,28,0.041
202003311400 ,중구,32,0.032
202003311400 ,용산구,27,0.038
202003311400 ,종로구,26,0.032
202003311400 ,은평구,29,0.039
202003311400 ,마포구,33,0.03
202003311400 ,서대문구,30,0.039
202003311400 ,성북구,18,0.033
202003311400 ,강북구,27,0.038
202003311400 ,중랑구,23,0.032
202003311400 ,성동구,31,0.038
202003311400 ,노원구,0,0
202003311400 ,광진구,26,0.029
202003311400 ,동대문구,22,0.035
202003311400 ,도봉구,25,0.038
202003311400 ,구로구,31,0.052
202003311400 ,관악구,22,0.037
202003311400 ,동작구,27,0.033
202003311400 ,양천구,33,0.036
202003311400 ,금천구,26,0.035
202003311400 ,영등포구,29,0.034
202003311400 ,강서구,31,0.039
202003311400 ,강남구,33,0.035
202003311400 ,송파구,29,0.029
202003311400 ,강동구,23,0.031
202003311400 ,서초구,32,0.04
202003311300 ,용산구,31,0.03
202003311300 ,중구,34,0.029
202003311300 ,종로구,27,0.029
202003311300 ,마포구,29,0.026
202003311300 ,은평구,24,0.035
202003311300 ,서대문구,26,0.04
202003311300 ,노원구,25,0.033
202003311300 ,동대문구,25,0.03
202003311300 ,성동구,33,0.031
202003311300 ,중랑구,21,0.035
202003311300 ,성북구,17,0.035
202003311300 ,강북구,28,0.037
202003311300 ,도봉구,0,0
202003311300 ,광진구,28,0.026
202003311300 ,관악구,30,0.029
202003311300 ,동작구,37,0.027
202003311300 ,양천구,32,0.03
202003311300 ,강서구,30,0.032
202003311300 ,영등포구,26,0.034
202003311300 ,구로구,24,0.047
202003311300 ,금천구,27,0.028
202003311300 ,강동구,21,0.033
202003311300 ,서초구,37,0.031
202003311300 ,강남구,35,0.027
202003311300 ,송파구,22,0.024
202003311200 ,중구,32,0.027
202003311200 ,용산구,32,0.026
202003311200 ,종로구,32,0.026
202003311200 ,은평구,36,0.04
202003311200 ,서대문구,30,0.039
202003311200 ,마포구,29,0.024
202003311200 ,도봉구,0,0
202003311200 ,성동구,35,0.029
202003311200 ,성북구,32,0.026
202003311200 ,강북구,32,0.031
202003311200 ,광진구,29,0.027
202003311200 ,노원구,23,0.029
202003311200 ,동대문구,31,0.027
202003311200 ,중랑구,27,0.033
202003311200 ,구로구,32,0.036
202003311200 ,영등포구,30,0.028
202003311200 ,강서구,33,0.023
202003311200 ,관악구,28,0.029
202003311200 ,동작구,39,0.023
202003311200 ,양천구,30,0.029
202003311200 ,금천구,22,0.025
202003311200 ,강동구,22,0.033
202003311200 ,송파구,31,0.024
202003311200 ,강남구,39,0.018
202003311200 ,서초구,42,0
202003311100 ,용산구,37,0.023
202003311100 ,종로구,37,0.018
202003311100 ,중구,39,0.018
