date,usd,usd_rate
2007-02-27,938.9,0.0002
2007-02-28,941.7,0.003
2007-03-01,941.8,0.0001
2007-03-02,943,0.0013
2007-03-05,951.45,0.009
2007-03-06,947.6,-0.004
2007-03-07,948.65,0.0011
2007-03-08,947.9,-0.0008
2007-03-09,945.85,-0.0022
2007-03-12,943.9,-0.0021
2007-03-13,944.55,0.0007
2007-03-14,946.2,0.0017
2007-03-15,944.5,-0.0018
2007-03-16,944.8,0.0003
2007-03-19,943.6,-0.0013
2007-03-20,941.65,-0.0021
2007-03-21,937.95,-0.0039
2007-03-22,937.95,0
2007-03-23,937.4,-0.0006
2007-03-26,938.5,0.0012
2007-03-27,940.9,0.0026
2007-03-28,940.5,-0.0004
2007-03-29,940.5,0
2007-03-30,940.85,0.0004
2007-04-02,937.25,-0.0038
2007-04-03,936.7,-0.0006
2007-04-04,936.3,-0.0004
2007-04-05,933.05,-0.0035
2007-04-06,931.8,-0.0013
2007-04-09,933,0.0013
2007-04-10,933.9,0.001
2007-04-11,932.25,-0.0018
2007-04-12,931.7,-0.0006
2007-04-13,929.2,-0.0027
2007-04-16,931.75,0.0027
2007-04-17,928.8,-0.0032
2007-04-18,928.25,-0.0006
2007-04-19,928.75,0.0005
2007-04-20,927.55,-0.0013
2007-04-23,926.4,-0.0012
2007-04-24,927.25,0.0009
2007-04-25,926.75,-0.0005
2007-04-26,928.9,0.0023
2007-04-27,929.1,0.0002
2007-04-30,930.85,0.0019
2007-05-01,930.85,0
2007-05-02,930.1,-0.0008
2007-05-03,927,-0.0033
2007-05-04,927.6,0.0006
2007-05-07,922.35,-0.0057
2007-05-08,922.95,0.0007
2007-05-09,923.55,0.0007
2007-05-10,925.1,0.0017
2007-05-11,926.75,0.0018
2007-05-14,924.2,-0.0028
2007-05-15,924.35,0.0002
2007-05-16,923.95,-0.0004
2007-05-17,928.1,0.0045
2007-05-18,934.05,0.0064
2007-05-21,930.2,-0.0041
2007-05-22,930.3,0.0001
2007-05-23,931.4,0.0012
2007-05-24,931.4,0
2007-05-25,928.3,-0.0033
2007-05-28,928.75,0.0005
2007-05-29,927.6,-0.0012
2007-05-30,931,0.0037
2007-05-31,927.75,-0.0035
2007-06-01,928.35,0.0006
2007-06-04,927.95,-0.0004
2007-06-05,927,-0.001
2007-06-06,927.05,0.0001
2007-06-07,926.8,-0.0003
2007-06-08,931.05,0.0046
2007-06-11,932.55,0.0016
2007-06-12,929.5,-0.0033
2007-06-13,931.45,0.0021
2007-06-14,929.9,-0.0017
2007-06-15,928.4,-0.0016
2007-06-18,928.35,-0.0001
2007-06-19,927.7,-0.0007
2007-06-20,927.8,0.0001
2007-06-21,926.95,-0.0009
2007-06-22,928.1,0.0012
2007-06-25,926.5,-0.0017
2007-06-26,926.25,-0.0003
2007-06-27,927.8,0.0017
2007-06-28,926.8,-0.0011
2007-06-29,923.9,-0.0031
2007-07-02,921.6,-0.0025
2007-07-03,917.95,-0.004
2007-07-04,919.85,0.0021
2007-07-05,922.1,0.0024
2007-07-06,919.6,-0.0027
2007-07-09,920.95,0.0015
2007-07-10,919.9,-0.0011
2007-07-11,919.2,-0.0008
2007-07-12,918.25,-0.001
2007-07-13,917,-0.0014
2007-07-16,918.2,0.0013
2007-07-17,918.2,0
2007-07-18,916.15,-0.0022
2007-07-19,915.9,-0.0003
2007-07-20,915.05,-0.0009
2007-07-23,915.15,0.0001
2007-07-24,914.05,-0.0012
2007-07-25,913.95,-0.0001
2007-07-26,918.3,0.0048
2007-07-27,921.75,0.0038
2007-07-30,923.3,0.0017
2007-07-31,919.35,-0.0043
2007-08-01,925.2,0.0064
2007-08-02,922.9,-0.0025
2007-08-03,922.85,-0.0001
2007-08-06,923.45,0.0007
2007-08-07,922.9,-0.0006
2007-08-08,924.05,0.0012
2007-08-09,923,-0.0011
2007-08-10,931.9,0.0096
2007-08-13,929.5,-0.0026
2007-08-14,932.4,0.0031
2007-08-15,932.35,-0.0001
2007-08-16,946.35,0.015
2007-08-17,950.45,0.0043
2007-08-20,942.95,-0.0079
2007-08-21,943.45,0.0005
2007-08-22,944.15,0.0007
2007-08-23,941.65,-0.0026
2007-08-24,941.7,0.0001
2007-08-27,938.6,-0.0033
2007-08-28,939.65,0.0011
2007-08-29,941.95,0.0024
2007-08-30,940.35,-0.0017
2007-08-31,938.35,-0.0021
2007-09-03,937.4,-0.001
2007-09-04,939.1,0.0018
2007-09-05,938.05,-0.0011
2007-09-06,939.15,0.0012
2007-09-07,938.05,-0.0012
2007-09-10,939.5,0.0015
2007-09-11,936.3,-0.0034
2007-09-12,932.35,-0.0042
2007-09-13,931.5,-0.0009
2007-09-14,928.35,-0.0034
2007-09-17,928.45,0.0001
2007-09-18,930.65,0.0024
2007-09-19,926.6,-0.0044
2007-09-20,923.05,-0.0038
2007-09-21,921.1,-0.0021
2007-09-24,921.05,-0.0001
2007-09-25,921.1,0.0001
2007-09-26,921,-0.0001
2007-09-27,920.2,-0.0009
2007-09-28,915.15,-0.0055
2007-10-01,913.7,-0.0016
2007-10-02,913.8,0.0001
2007-10-03,913.8,0
2007-10-04,916.45,0.0029
2007-10-05,916.3,-0.0002
2007-10-08,914.6,-0.0019
2007-10-09,918.6,0.0044
2007-10-10,916.6,-0.0022
2007-10-11,917.4,0.0009
2007-10-12,918.3,0.001
2007-10-15,917.2,-0.0012
2007-10-16,917.45,0.0003
2007-10-17,918.5,0.0011
2007-10-18,917.7,-0.0009
2007-10-19,915.8,-0.0021
2007-10-22,917.05,0.0014
2007-10-23,918.2,0.0013
2007-10-24,917.9,-0.0003
2007-10-25,916.7,-0.0013
2007-10-26,909.5,-0.0079
2007-10-29,906.85,-0.0029
2007-10-30,907,0.0002
2007-10-31,900.8,-0.0068
2007-11-01,903.6,0.0031
2007-11-02,907,0.0038
2007-11-05,907.85,0.0009
2007-11-06,907.8,-0.0001
2007-11-07,906.1,-0.0019
2007-11-08,907.5,0.0015
2007-11-09,906.7,-0.0009
2007-11-12,911.3,0.0051
2007-11-13,918.75,0.0082
2007-11-14,913.55,-0.0057
2007-11-15,915.5,0.0021
2007-11-16,917.4,0.0021
2007-11-19,919.2,0.002
2007-11-20,922.4,0.0035
2007-11-21,929,0.0072
2007-11-22,933.55,0.0049
2007-11-23,930.65,-0.0031
2007-11-26,929.35,-0.0014
2007-11-27,929.3,-0.0001
2007-11-28,931.55,0.0024
2007-11-29,928.7,-0.0031
2007-11-30,921.15,-0.0081
2007-12-03,925.2,0.0044
2007-12-04,922.6,-0.0028
2007-12-05,923.3,0.0008
2007-12-06,922.05,-0.0014
2007-12-07,919.15,-0.0031
2007-12-10,923.6,0.0048
2007-12-11,923.95,0.0004
2007-12-12,926.6,0.0029
2007-12-13,924.85,-0.0019
2007-12-14,930.05,0.0056
2007-12-17,933.6,0.0038
2007-12-18,939.45,0.0063
2007-12-19,939.5,0.0001
2007-12-20,943.65,0.0044
2007-12-21,940.6,-0.0032
2007-12-24,939.6,-0.0011
2007-12-25,939.6,0
2007-12-26,938.9,-0.0007
2007-12-27,940.6,0.0018
2007-12-28,936,-0.0049
2007-12-31,936,0
2008-01-01,936.1,0.0001
2008-01-02,936.95,0.0009
2008-01-03,936.5,-0.0005
2008-01-04,938.45,0.0021
2008-01-07,940.7,0.0024
2008-01-08,939.35,-0.0014
2008-01-09,937.4,-0.0021
2008-01-10,937.6,0.0002
2008-01-11,937.6,0
2008-01-14,937.4,-0.0002
2008-01-15,935.55,-0.002
2008-01-16,940.2,0.005
2008-01-17,945.55,0.0057
2008-01-18,943.1,-0.0026
2008-01-21,948.5,0.0057
2008-01-22,954.05,0.0059
2008-01-23,952.85,-0.0013
2008-01-24,949.4,-0.0036
2008-01-25,946.65,-0.0029
2008-01-28,949.85,0.0034
